"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","4 yr.","mnwk","no","with","all","Male","LPM","(Intercept)",0.000204757638224835,1.61184760448521e-06,127.032876839638,0,NA,NA,6928125511
"1.1","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE",-1.79000854713606e-05,3.89848803780054e-07,-45.9154556787086,0,NA,NA,6928125511
"1.2","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp20-24",4.65165228037859e-05,1.81825742146214e-06,25.5830237537983,2.35719944938796e-144,NA,NA,6928125511
"1.3","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp25-34",-8.24559714490409e-05,1.49261153714007e-06,-55.2427536551348,0,NA,NA,6928125511
"1.4","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp35-44",-0.000119082715516614,1.46080775683903e-06,-81.5184030609821,0,NA,NA,6928125511
"1.5","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp45-54",-0.000157445039341986,1.43229701880231e-06,-109.924853068285,0,NA,NA,6928125511
"1.6","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp55-64",-0.00019950446542247,1.43689179026458e-06,-138.844460504388,0,NA,NA,6928125511
"1.7","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp65-199",-0.00026125738304428,1.41215545196673e-06,-185.006107281193,0,NA,NA,6928125511
"1.8","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg1",0.000708629154273669,5.72693374511586e-06,123.736223573045,0,NA,NA,6928125511
"1.9","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg2",0.000749422355274244,2.64883378337856e-06,282.925399085768,0,NA,NA,6928125511
"1.10","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg3",0.000834158732540541,2.36441283717613e-06,352.797413135683,0,NA,NA,6928125511
"1.11","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg4",0.00129650247746157,7.56405594835957e-06,171.40307875998,0,NA,NA,6928125511
"1.12","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg5",0.00139314978439719,5.75561092231521e-06,242.050722886041,0,NA,NA,6928125511
"1.13","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg6",0.00158840037999185,6.9497066574598e-06,228.556464075625,0,NA,NA,6928125511
"1.14","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg7",0.00187032423382477,1.21896305440902e-05,153.435678551516,0,NA,NA,6928125511
"1.15","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg8",0.00203522105866157,1.1810695684498e-05,172.320167501469,0,NA,NA,6928125511
"1.16","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg9",0.00191220338587641,1.27795205097527e-05,149.630292029902,0,NA,NA,6928125511
"1.17","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg10-150",0.00285141203011642,1.05767817354418e-05,269.591649089401,0,NA,NA,6928125511
